Negócio;Cliente;tamanho
Infinito Mare;B2G - Prefeituras;4
Infinito Mare;B2B - Indústria extrativista (mineradoras, madeireiras, celulose...);4
Infinito Mare;B2B - Indústrias químicas;4
Infinito Mare;B2B - empresas de saneamento, controladoras de portos e hidrelétricas;4
IH, ALAGOU;B2G - Prefeituras;2
IH, ALAGOU;B2B - empresas de saneamento, controladoras de portos e hidrelétricas;2
Meliponatec;B2BC - Demanda internacional e minoritariamente nacional;2
Meliponatec;B2C - Interessados em produtos premium e exclusividade;2
Engenho do Açaí;B2B2C - Demanda internacional e nacional;2
Engenho do Açaí;B2C - Interessados em produtos da sociobiodiversidade amazônica, plant-based etc.;2
Amaztrace;B2B2C - Cooperativas;3
Amaztrace;B2C - Produtor Rural;3
Amaztrace;B2C - Agricultor Familiar;3
GeoInova;B2B - Indústria extrativista (mineradoras, madeireiras, celulose...);2
GeoInova;B2B - Agricultor;2
Greenbug;B2B - Seguradoras;5
Greenbug;B2B - Indústria extrativista (mineradoras, madeireiras, celulose...);5
Greenbug;B2B - Consultorias ambientais;5
Greenbug;B2C - Proprietários de terra;5
Greenbug;B2B - Agricultor;5
Uirapuru;B2B2C - Cooperativas;4
Uirapuru;B2B - Demanda internacional e minoritariamente nacional;4
Uirapuru;B2B - Produtor Rural;4
Uirapuru;B2C - Agricultor Familiar;4
Biotecland;B2B2C - Cooperativas;2
Biotecland;B2B - Produtor Rural;2
DanaAgro;B2G - Prefeitura;3
DanaAgro;B2B2C - Cooperativas;3
DanaAgro;B2B - Produtor Rural;3
BChem;B2G - Prefeitura;3
BChem;B2B2C - Cooperativas;3
BChem;B2B - Produtor Rural;3
ACC;B2G - Prefeitura;6
ACC;B2C - Proprietários de terra;6
ACC;B2B - Produtor Rural;6
ACC;B2B - Indústria extrativista (mineradoras, madeireiras, celulose...);6
ACC;B2B - Empresas que querem investir em Restauração Ecológica;6
ACC;B2B - Empresas proponentes de crédito de carbono;6
Bioflore;B2B - Empresasa de Bioeconomia;5
Bioflore;B2B - Empresas que querem investir em Restauração Ecológica;5
Bioflore;B2B - ONGs;5
Bioflore;B2B - Empresas proponentes de crédito de carbono;5
Bioflore;B2B - Indústria extrativista (mineradoras, madeireiras, celulose...);5
Ceres Seeding;B2B - Indústria extrativista (mineradoras, madeireiras, celulose...);4
Ceres Seeding;B2B - Consultorias ambientais;4
Ceres Seeding;B2B - Empresas que querem investir em Restauração Ecológica;4
Ceres Seeding;B2B - Produtor Rural;4
Metagen;B2B - Consultorias ambientais;5
Metagen;B2B - Indústria extrativista (mineradoras, madeireiras, celulose...);5
Metagen;B2B - Instituto de pesquisas;5
Metagen;B2B - Grandes emprerendimentos e obras de infraestrura;5
Metagen;B2B - Produtor Rural;5
